iter	Passed	Remaining
0	12108	60532078
1	19050	47605971
2	27231	45359265
3	43071	53796743
4	49764	49714290
5	58705	48862469
6	63254	45118575
7	68845	42959495
8	73977	41024441
9	76165	38006767
10	82450	37395208
11	89814	37332692
12	93453	35850237
13	100739	35877646
14	104135	34607775
15	108363	33755157
16	112882	33087778
17	117284	32461789
18	121627	31885643
19	124895	31099048
20	128320	30424219
21	131153	29676538
22	132316	28632156
23	133411	24	316944	37716362
25	320945	36711196
26	323633	35635609
27	326218	34625772
28	328814	33686508
29	331396	32808208
30	33359230	194146	31	33621831	207713	32	472781	42507339
33	477488	41653864
34	480636	40716742
35	483455	39804541
36	487710	39056404
37	590369	46017730
38	593043	45025696
39	595675	44080008
40	598598	43201299
41	602318	42420410
42	605693	41651998
43	734122	49319691
44	745774	48972557
45	752785	48341891
46	757457	47590892
47	760100	46746165
48	762610	45927856
49	765772	45180586
50	768315	44426709
51	770571	43685448
52	773097	42987135
53	775660	42316584
54	778211	41669698
55	780650	41039931
56	783227	40439246
57	786262	39882470
58	788833	39321336
59	791472	38782167
60	794268	38268127
61	927432	43948341
62	931816	43440408
63	934707	42879696
64	937515	42332443
65	1050216	46686907
66	1054342	46155023
67	1057226	45585101
68	1157182	49155101
69	1259442	52716665
70	1266222	52236129
71	1271735	51717240
72	1309052	52487611
73	1312321	51889908
74	1315027	51286082
75	1317990	50707952
76	1320748	50136991
77	1322838	49555562
78	1324898	48987706
79	1326973	48434545
80	1329884	47925092
81	1333170	47441368
82	1336109	46957022
83	1339514	46500293
84	1342175	46028727
85	1347144	45646281
86	1352724	45292961
87	1358695	44960453
88	1363015	44581325
89	1372433	44375354
90	1400137	44758245
91	1402869	44342871
92	1405256	43925585
93	1407423	43510338
94	1409616	43104584
95	1411689	42703618
96	1413755	42310640
97	1415843	41926311
98	1417926	41549555
99	1419849	41175628
100	1421982	40815134
101	1424193	40463836
102	1426473	40121298
103	1429129	39795761
104	1431798	39476727
105	1434731	39170871
106	1437115	38855840
107	1439461	38545588
108	1442268	38253184
109	1455382	38236876
916
112	763599	33023984
113	767789	32907174
114	771987	32792692
115	776769	32704692
116	782977	32677589
117	793181	32816188
118	801884	32890732
119	807953	32856757
120	812333	32755160
121	824456	32964741
122	833010	33029186
123	837318	32925536
124	841394	32814367
125	844774	32678022
126	869385	33358373
127	877094	33384415
128	883399	33356878
129	990796	37116773
130	997742	37084041
131	1003199	36996770
132	1014210	37114011
133	1020526	37058824
134	1024785	36930245
135	1029545	36821404
136	1035763	36765840
137	1041739	36702440
138	1046158	36585442
139	1057778	36720037
140	1064049	36668215
141	1068493	36554511
142	1073850	36473372
143	1078925	36383767
144	1084318	36305966
145	1088727	36196448
146	1093800	36110295
147	1102877	36156489
148	1105796	36001478
149	1140858	36887758
150	1145529	36785900
151	1150079	36681486
152	1153965	36557315
153	1158258	36447545
154	1162263	36330108
155	1166246	36213438
156	1170328	36101288
157	1175016	36009046
158	1179345	35907004
159	1187659	35926697
160	1196239	35954056
161	1206392	36027931
162	1234485	36633167
163	1237366	36487233
164	1240751	36357766
165	1243969	36224999
166	1247317	36097516
167	1250441	35965090
168	1253664	35836992
169	1257222	35719900
170	1260294	35590433
171	1265211	35514197
172	1269887	35432060
